row ID,row m/z,row retention time,Extract.mzXML Peak area,F_5.mzXML Peak area,F_6.mzXML Peak area,F_7.mzXML Peak area,F_8.mzXML Peak area,F_9.mzXML Peak area,F_10.mzXML Peak area,F_11.mzXML Peak area,F_12.mzXML Peak area,F_13.mzXML Peak area,F_14.mzXML Peak area,F_15.mzXML Peak area,F_16.mzXML Peak area,F_17.mzXML Peak area
155,637.283,644,31247573.67,0,0,0,0,0,0,88406.41797,0,60079.02734,397668783,36629447.44,5365519.547,1054365.652
156,639.28,895,38027550.88,0,0,0,0,0,0,2634581.707,693667507.9,8082431.094,2789049.117,3482913.186,336393,670764.9023
157,641.294,836,141092580.6,0,0,0,0,0,0,11108596.19,33096351.19,216546702.3,5488579.561,12883944.66,12720905.56,1845600.822
158,641.294,742,153174918.3,32276.51953,0,0,0,0,0,3631751.887,219991836.4,259530406.5,6872576.172,13091761.22,5681488.93,3023950.057
159,641.294,776,17046818.45,0,0,0,0,0,0,0,150789869.4,17962884.21,2415125.166,4752554.469,25986143.61,0
160,643.306,1115,5919973.078,0,0,0,0,125466647.8,4447247.684,14675116.4,1592500.297,0,0,105251.918,104086.5586,0
161,643.311,1170,16226471.09,0,0,0,0,348710901.1,1547801.816,958202.8555,305962.9063,78313.90039,135672.4609,888284.0195,378641.8555,92851.85742
162,647.307,997,121802143.8,0,0,0,0,0,0,3634741.332,2923208.871,198458936.9,6488011.652,14024328.47,3576769.424,3777108.086
163,649.321,1409,4087838.279,0,0,25509.98047,0,92970355.25,2014300.832,91841.44922,0,24592.94531,33446.53516,37093.67188,37817.63281,0
164,649.322,913,1369843.094,0,0,0,0,0,0,35833478.31,10622624.78,63559.29102,32429.91797,0,28019.57422,0
165,651.277,1006,5459553.922,0,0,0,0,0,38554431.25,5235745.063,57959.57031,0,0,69861.08594,22686.21094,0
166,657.265,984,6219245.93,0,0,0,0,0,35562.21875,0,59857991.38,6976955.492,90983.91406,227226.75,0,0
167,657.284,803,7446348.297,0,0,0,0,0,0,88336.95508,75169459.75,8975391.422,221563.4023,531654.6602,0,0
168,658.285,471,147701.7266,0,0,0,0,0,0,0,0,26541.94336,0,0,46143038.25,812266.6328
169,659.307,838,10480283.07,0,0,0,0,0,0,129572917.8,175009668,1507873.969,635995.082,923622.668,212337.1953,116210.332
170,661.282,435,6384759.82,0,0,0,0,0,0,34155.28516,0,0,98985.23438,10340671.4,205561191.1,1504728.258
171,661.287,945,282244811.9,0,0,0,0,0,0,5886562.895,222522.2949,477069742.8,16017686.78,22737587.08,7050407.275,1858740.27
172,661.301,1080,826491.7617,0,0,0,0,0,91941.05859,30468963.88,1086053.609,0,0,0,0,0
173,663.297,712,14753764.2,0,0,0,0,0,0,167982.3633,0,23222604.41,158046752.6,4193865.938,946230.8594,344494.6367
174,664.312,647,12080876.59,0,0,0,0,0,0,0,0,0,140448687.1,329215939.9,182721366.5,563596.1016
175,664.312,613,6175746.914,0,0,0,0,0,0,0,32482.10742,0,0,198521157.6,149638518.6,1567244.193
176,665.29,906,1866195.504,0,0,0,0,0,0,39507658.38,40874299.44,368593.3457,140387.3711,0,0,0
177,665.29,1095,12879982.98,0,0,0,0,107486677.8,46494785.69,1559347.25,1843068.025,0,188771.416,737469.5879,169714.9492,0
178,665.291,1176,402567057,0,0,0,0,2101544038,746445.8594,298815707.8,6197180,1878543.211,5527277.871,39002210.38,42977149,965033.4727
179,666.296,1191,155164674.1,64614.99609,0,0,0,459430214,13583724.41,9056621.484,6653665.035,4017124.289,6660091.82,8297186.836,918188.2188,8379932.742
180,667.311,1164,1037620094,268900.4629,0,0,0,45483335.13,4038675157,117511886.8,38895703.13,14815990.14,36748165.5,86852262.75,81955401.88,25975039.01
181,667.311,1086,2670976.996,0,0,0,0,0,21606.03516,111267.832,74434292.81,549617.0918,58082.38086,31574.45313,0,0
182,667.311,1239,33923145.7,0,0,0,0,137797666.1,143651705.5,2174667.82,1861598.762,346999.7148,627038.8496,1777000.52,467506.5898,417389.6016
183,669.289,697,56035300,0,0,0,0,0,0,1414454.453,0,111675893.1,2753337.572,4929949.121,1602567.406,144976.8828
184,671.322,1325,6794204.945,0,0,0,0,3255545.678,0,129835439.2,16246098.23,203518.5879,44845.22656,433920.8848,33062.48828,28454.39063
185,671.322,1431,2567031.328,0,0,0,0,47320052.75,156729.9355,4042496.258,308915.3984,0,0,0,0,0
186,673.285,623,1878545.5,0,0,0,0,0,0,0,0,0,56296779.75,1385844.633,277798.8945,0
187,675.263,460,1407414.699,0,0,0,0,0,0,0,0,0,611716.6328,61796266.63,39245992.25,224050.6621
188,675.296,878,478321.2422,0,0,0,0,0,131162.332,50671078,2487390.516,0,257790.6602,0,0,0
